State,City,Median-Salary
Alabama,Anniston-Oxford-Jacksonville,86620
Alabama,Auburn-Opelika,95360
Alabama,Birmingham-Hoover,105930
Alabama,Columbus,111370
Alabama,Daphne-Fairhope-Foley,101050
Alabama,Decatur,114910
Alabama,Dothan,90850
Alabama,Florence-Muscle-Shoals,90440
Alabama,Huntsville,120260
Alabama,Mobile,105530
Alabama,Montgomery,100350
Alabama,Tuscaloosa,97650
Alaska,Anchorage,143420
Arizona,Flagstaff,110110
Arizona,Lake-Havasu-City-Kingman,114520
Arizona,Phoenix-Mesa-Scottsdale,129100
Arizona,Prescott,121000
Arizona,Sierra-Vista-Douglas,119440
Arizona,Tucson,125750
Arizona,Yuma,111150
Arkansas,Fayetteville-Springdale-Rogers,100160
Arkansas,Fort-Smith,96200
Arkansas,Hot-Springs,113990
Arkansas,Jonesboro,89620
Arkansas,Little-Rock-North-Conway,101500
Arkansas,Memphis,115680
Arkansas,Texarkana,107010
California,Bakersfield,135060
California,Chico,120990
California,El-Centro,121360
California,Frenso,127890
California,Los-Angeles-Long-Beach-Anaheim,151780
California,Madera,112190
California,Merced,128600
California,Modesto,120850
California,Napa,147020
California,Oxnard-Thousand-Oaks-Ventura,139920
California,Redding,129290
California,Riverside-San-Bernardino-Ontario,134400
California,Sacramento-Roseville-Arden-Arcade,146490
California,Salinas,142360
California,San-Diego-Carlsbad,152270
California,San-Francisco-Oakland-Hayward,181220
California,San-Jose-Sunnyvale-Santa-Clara,199800
California,San-Luis-Obispo-Paso-Robles-Arroyo-Grande,136220
California,Santa-Cruz-Watsonville,141830
California,Santa-Maria-Santa-Barbara,156470
California,Santa-Rosa,144350
California,Stockton-Lodi,134060
California,Vallejo-Fairfield,135490
California,Visalia-Porterville,132550
California,Yuba-City,136130
Colorado,Boulder,182650
Colorado,Colorado-Springs,133200
Colorado,Denver-Aurora-Lakewood,139670
Colorado,Fort-Collins,128170
Colorado,Grand-Junction,117890
Colorado,Greeley,129550
Colorado,Pueblo,116140
Connecticut,Bridgeport-Stamford-Norwalk,141690
Connecticut,Danbury,127040
Connecticut,Hartford,124980
Connecticut,New-Haven,123000
Connecticut,Norwich-New-London-Westerly,119010
Connecticut,Springfield,117900
Delaware,Dover,115910
Delaware,Philadelphia-Camden-Wilmington,125850
Delaware,Salisbury,127150
District of Columbia,Washington-Arlington-Alexandria,148480
Florida,Cape-Coral-Fort-Myers,115160
Florida,Crestview-Fort-Walton-Beach-Destin,118340
Florida,Deltona-Daytona-Beach-Ormond-Beach,109920
Florida,Gainesville,96580
Florida,Homosassa-Springs,117750
Florida,Jacksonville,118560
Florida,Lakeland-Winter-Haven,109240
Florida,Miami-Fort-Lauderdale-West-Palm-Beach,125700
Florida,Naples-Immokalee-Marco-Island,121080
Florida,North-Port-Sarasota-Bradenton,119340
Florida,Ocala,112750
Florida,Orlando-Kissimmee-Sanford,116600
Florida,Palm-Bay-Melbourne-Titusville,126200
Florida,Panama-City,107280
Florida,Pensacola-Ferry-Pass-Brent,103790
Florida,Port-St.-Lucie,113530
Florida,Punta-Gorda,120160
Florida,Sebastian-Vero-Beach,110040
Florida,Tallahassee,97020
Florida,Tampa-St.-Petersburg-Clearwater,117010
Florida,The-Villages,103680
Georgia,Athens-Clarke-County,99530
Georgia,Atlanta-Sandy-Springs-Roswell,127720
Georgia,Augusta-Richmond-County,116830
Georgia,Brunswick,112200
Georgia,Chattanooga,107290
Georgia,Columbus,111370
Georgia,Dalton,103830
Georgia,Gainesville,121070
Georgia,Macon,117090
Georgia,Rome,117330
Georgia,Savannah,111870
Georgia,Valdosta,100730
Georgia,Warner-Robins,110900
Hawaii,Kahului-Wailuku-Lahaina,130740
Hawaii,Urban-Honolulu,111060
Idaho,Boise-City,151620
Idaho,Coeur-d'Alene,142500
Idaho,Idaho-Falls,129710
Idaho,Lewiston,135000
Idaho,Logan,104670
Idaho,Pocatello,107530
Illinois,Cape-Girardeau,79560
Illinois,Carbondale-Marion,109510
Illinois,Champaign-Urbana,117070
Illinois,Chicago-Naperville-Elgin,127960
Illinois,Danville,104580
Illinois,Davenport-Moline-Rock-Island,112180
Illinois,Decatur,108680
Illinois,Kankakee,117290
Illinois,Peoria,114730
Illinois,Rockford,112440
Illinois,St.-Louis,112390
Illinois,Springfield,115870
Indiana,Bloomington,106240
Indiana,Chicago-Naperville-Elgin,127960
Indiana,Cincinnati,113020
Indiana,Columbus,95660
Indiana,Elkhart-Goshen,108620
Indiana,Evansville,99370
Indiana,Fort-Wayne,112330
Indiana,Indianapolis-Carmel-Anderson,114070
Indiana,Kokomo,130050
Indiana,Lafayette-West-Lafayette,77890
Indiana,Louisville,111340
Indiana,Michigan-City-La-,98680
Indiana,Muncie,100710
Indiana,South-Bend-Mishawaka,103030
Indiana,Terre-Haute,105820
Iowa,Ames,109800
Iowa,Cedar-Rapids,108320
Iowa,Davenport-Moline-Rock-Island,112180
Iowa,Des-Moines-West-Des-Moines,112790
Iowa,Dubuque,111240
Iowa,Iowa-City,100050
Iowa,Omaha-Council-Bluffs,116090
Iowa,Sioux-City,97020
Iowa,Waterloo-Cedar-Falls,102960
Kansas,Kansas-City,112960
Kansas,Lawrence,103790
Kansas,Manhattan,100150
Kansas,St.-Joseph,90990
Kansas,Topeka,100180
Kansas,Wichita,105630
Kentucky,Bowling-Green,98970
Kentucky,Cincinnati,113020
Kentucky,Clarksville,102950
Kentucky,Elizabethtown-Fort-Knox,95250
Kentucky,Evansville,99370
Kentucky,Huntington-Ashland,92770
Kentucky,Lexington-Fayette,108290
Kentucky,Louisville,111340
Kentucky,Owensboro,85610
Louisiana,Baton-Rouge,109540
Louisiana,Hammond,107290
Louisiana,Houma-Thibodaux,104110
Louisiana,Lafayette,104070
Louisiana,Lake-Charles,114230
Louisiana,Monroe,112280
Louisiana,New-Orleans-Metairie,140890
Maine,Bangor,110090
Maine,Dover-Durham,123200
Maine,Lewiston-Auburn,118060
Maine,Portland-South-Portland,118740
Maine,Portsmouth,133250
Maryland,Baltimore-Columbia-Towson,152120
Maryland,California-Lexington-Park,139480
Maryland,Cumberland,115640
Maryland,Hagerstown-Martinsburg,119900
Maryland,Philadelphia-Camden-Wilmington,125850
Maryland,Salisbury,127150
Maryland,Washington-Arlington-Alexandria,148480
